event_code,event_year,session_code,sky,track_codition,humidity,ground_temp,circuit,track_length_m,rider_number,rider_name,team,manufacturer,front_tyre,rear_tyre,lap,lap_time,lap_s,t1_s,t2_s,t3_s,t4_s,speed
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,Ducati,Soft,Medium,2,1'31.158,91.158,18.62,26.042,22.405,24.091,339.6
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,Ducati,Soft,Medium,3,1'31.085,91.085,18.477,26.115,22.412,24.081,338.5
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,Ducati,Soft,Medium,4,1'31.368,91.368,18.419,26.347,22.325,24.277,339.6
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,Ducati,Soft,Medium,5,1'30.944,90.944,18.522,26.078,22.301,24.043,337.5
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,Ducati,Soft,Medium,6,1'30.975,90.975,18.491,26.166,22.235,24.083,331.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,Ducati,Soft,Medium,7,1'30.864,90.864,18.499,26.073,22.189,24.103,335.4
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,Ducati,Soft,Medium,8,1'30.979,90.979,18.511,26.131,22.266,24.071,333.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,Ducati,Soft,Medium,9,1'31.162,91.162,18.601,26.194,22.253,24.114,333.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,Ducati,Soft,Medium,10,1'31.529,91.529,18.567,26.178,22.563,24.221,324.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,Ducati,Soft,Medium,11,1'31.402,91.402,18.535,26.203,22.382,24.282,334.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,Ducati,Soft,Medium,12,1'31.194,91.194,18.517,26.065,22.291,24.321,335.4
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,Ducati,Soft,Medium,13,1'31.320,91.32,18.523,26.168,22.342,24.287,339.6
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,Ducati,Soft,Medium,14,1'31.358,91.358,18.561,26.338,22.328,24.131,338.5
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,Ducati,Soft,Medium,15,1'31.403,91.403,18.543,26.126,22.509,24.225,338.5
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,Ducati,Soft,Medium,16,1'31.134,91.134,18.492,26.075,22.318,24.249,339.6
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,Ducati,Soft,Medium,17,1'31.159,91.159,18.465,26.109,22.298,24.287,338.5
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,Ducati,Soft,Medium,18,1'31.156,91.156,18.509,26.055,22.278,24.314,339.6
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,Ducati,Soft,Medium,19,1'31.381,91.381,18.519,26.129,22.381,24.352,339.6
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,Ducati,Soft,Medium,20,1'31.421,91.421,18.627,26.088,22.398,24.308,339.6
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,Ducati,Soft,Medium,21,,,18.562,26.839,,,337.5
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,37,Pedro ACOSTA,Red Bull KTM Factory Racing,KTM,Soft,Soft,1,1'32.112,92.112,19.825,26.131,22.036,24.12,329.2
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,37,Pedro ACOSTA,Red Bull KTM Factory Racing,KTM,Soft,Soft,2,1'30.141,90.141,18.411,25.724,22.033,23.973,336.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,37,Pedro ACOSTA,Red Bull KTM Factory Racing,KTM,Soft,Soft,3,1'30.286,90.286,18.512,25.866,22.032,23.876,334.3
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,37,Pedro ACOSTA,Red Bull KTM Factory Racing,KTM,Soft,Soft,4,1'30.026,90.026,18.388,25.77,21.93,23.938,336.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,37,Pedro ACOSTA,Red Bull KTM Factory Racing,KTM,Soft,Soft,5,1'30.212,90.212,18.416,25.87,22.074,23.852,335.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,37,Pedro ACOSTA,Red Bull KTM Factory Racing,KTM,Soft,Soft,6,1'30.195,90.195,18.449,25.815,22.094,23.837,335.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,37,Pedro ACOSTA,Red Bull KTM Factory Racing,KTM,Soft,Soft,7,1'30.378,90.378,18.399,25.836,22.087,24.056,335.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,37,Pedro ACOSTA,Red Bull KTM Factory Racing,KTM,Soft,Soft,8,1'30.653,90.653,18.651,25.983,22.096,23.923,337.5
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,37,Pedro ACOSTA,Red Bull KTM Factory Racing,KTM,Soft,Soft,9,1'30.232,90.232,18.412,25.835,22.037,23.948,336.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,37,Pedro ACOSTA,Red Bull KTM Factory Racing,KTM,Soft,Soft,10,1'30.716,90.716,18.459,25.924,22.089,24.244,337.5
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,37,Pedro ACOSTA,Red Bull KTM Factory Racing,KTM,Soft,Soft,11,1'30.918,90.918,18.527,25.967,22.15,24.274,338.5
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,37,Pedro ACOSTA,Red Bull KTM Factory Racing,KTM,Soft,Soft,12,1'32.143,92.143,18.513,26.019,22.635,24.976,337.5
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,37,Pedro ACOSTA,Red Bull KTM Factory Racing,KTM,Soft,Soft,13,1'31.143,91.143,18.737,25.994,22.167,24.245,334.3
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,DUCATI,Soft,Soft,1,1'31.739,91.739,19.382,26.037,22.279,24.041,337.5
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,DUCATI,Soft,Soft,2,1'30.462,90.462,18.349,25.901,22.153,24.059,337.5
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,DUCATI,Soft,Soft,3,1'30.076,90.076,18.292,25.748,22.115,23.921,338.5
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,DUCATI,Soft,Soft,4,1'29.922,89.922,18.322,25.679,22.096,23.825,338.5
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,DUCATI,Soft,Soft,5,1'30.268,90.268,18.338,25.929,22.141,23.86,336.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,DUCATI,Soft,Soft,6,1'30.207,90.207,18.42,25.795,22.133,23.859,337.5
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,DUCATI,Soft,Soft,7,1'30.698,90.698,18.51,25.858,22.145,24.185,336.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,DUCATI,Soft,Soft,8,1'30.330,90.33,18.529,25.762,22.107,23.932,337.5
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,DUCATI,Soft,Soft,9,1'30.271,90.271,18.367,25.825,22.114,23.965,337.5
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,DUCATI,Soft,Soft,10,1'30.806,90.806,18.376,26.041,22.173,24.216,338.5
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,DUCATI,Soft,Soft,11,1'31.112,91.112,18.395,26.067,22.265,24.385,338.5
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,DUCATI,Soft,Soft,12,1'31.783,91.783,18.433,25.96,22.903,24.487,338.5
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,DUCATI,Soft,Soft,13,1'31.589,91.589,18.56,25.914,22.268,24.847,337.5
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,25,Raul FERNANDEZ,Trackhouse MotoGP Team,APRILIA,Soft,Soft,1,1'32.210,92.21,19.624,26.187,22.053,24.346,336.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,25,Raul FERNANDEZ,Trackhouse MotoGP Team,APRILIA,Soft,Soft,2,1'30.612,90.612,18.494,25.895,22.314,23.909,334.3
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,25,Raul FERNANDEZ,Trackhouse MotoGP Team,APRILIA,Soft,Soft,3,1'30.445,90.445,18.506,25.833,22.293,23.813,335.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,25,Raul FERNANDEZ,Trackhouse MotoGP Team,APRILIA,Soft,Soft,4,1'30.039,90.039,18.438,25.842,21.918,23.841,333.3
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,25,Raul FERNANDEZ,Trackhouse MotoGP Team,APRILIA,Soft,Soft,5,1'30.103,90.103,18.5,25.908,21.887,23.808,331.2
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,25,Raul FERNANDEZ,Trackhouse MotoGP Team,APRILIA,Soft,Soft,6,1'30.345,90.345,18.525,25.97,21.952,23.898,333.3
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,25,Raul FERNANDEZ,Trackhouse MotoGP Team,APRILIA,Soft,Soft,7,1'30.424,90.424,18.547,25.961,21.942,23.974,330.2
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,25,Raul FERNANDEZ,Trackhouse MotoGP Team,APRILIA,Soft,Soft,8,1'30.581,90.581,18.607,26.005,22.019,23.95,333.3
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,25,Raul FERNANDEZ,Trackhouse MotoGP Team,APRILIA,Soft,Soft,9,1'30.575,90.575,18.499,25.979,22.03,24.067,335.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,25,Raul FERNANDEZ,Trackhouse MotoGP Team,APRILIA,Soft,Soft,10,1'30.799,90.799,18.601,26.008,22.09,24.1,334.3
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,25,Raul FERNANDEZ,Trackhouse MotoGP Team,APRILIA,Soft,Soft,11,1'31.030,91.03,18.646,26.072,22.171,24.141,332.3
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,25,Raul FERNANDEZ,Trackhouse MotoGP Team,APRILIA,Soft,Soft,12,1'30.973,90.973,18.582,25.946,22.265,24.18,334.3
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,25,Raul FERNANDEZ,Trackhouse MotoGP Team,APRILIA,Soft,Soft,13,1'31.559,91.559,18.791,26.187,22.286,24.295,330.2
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,79,Ai OGURA,Trackhouse MotoGP Team,APRILIA,Soft,Soft,1,1'32.946,92.946,20.226,26.394,22.296,24.03,324.3
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,79,Ai OGURA,Trackhouse MotoGP Team,APRILIA,Soft,Soft,2,1'30.711,90.711,18.524,26.013,22.127,24.047,330.2
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,79,Ai OGURA,Trackhouse MotoGP Team,APRILIA,Soft,Soft,3,1'30.676,90.676,18.473,25.923,22.309,23.971,335.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,79,Ai OGURA,Trackhouse MotoGP Team,APRILIA,Soft,Soft,4,1'30.424,90.424,18.36,25.905,22.185,23.974,335.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,79,Ai OGURA,Trackhouse MotoGP Team,APRILIA,Soft,Soft,5,1'30.441,90.441,18.498,25.937,22.032,23.974,334.3
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,79,Ai OGURA,Trackhouse MotoGP Team,APRILIA,Soft,Soft,6,1'30.590,90.59,18.651,25.888,22.041,24.01,337.5
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,79,Ai OGURA,Trackhouse MotoGP Team,APRILIA,Soft,Soft,7,1'30.354,90.354,18.42,25.9,22.077,23.957,336.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,79,Ai OGURA,Trackhouse MotoGP Team,APRILIA,Soft,Soft,8,1'30.396,90.396,18.418,25.82,22.108,24.05,339.6
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,79,Ai OGURA,Trackhouse MotoGP Team,APRILIA,Soft,Soft,9,1'30.854,90.854,18.494,25.959,22.308,24.093,340.6
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,79,Ai OGURA,Trackhouse MotoGP Team,APRILIA,Soft,Soft,10,1'30.953,90.953,18.491,26.079,22.233,24.15,340.6
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,79,Ai OGURA,Trackhouse MotoGP Team,APRILIA,Soft,Soft,11,1'30.978,90.978,18.538,26.122,22.216,24.102,335.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,79,Ai OGURA,Trackhouse MotoGP Team,APRILIA,Soft,Soft,12,1'30.921,90.921,18.627,25.995,22.206,24.093,335.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,79,Ai OGURA,Trackhouse MotoGP Team,APRILIA,Soft,Soft,13,1'31.011,91.011,18.561,25.929,22.239,24.282,337.5
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,89,Jorge MARTIN,Aprilia Racing,APRILIA,Soft,Soft,1,1'32.329,92.329,19.904,26.263,22.08,24.082,315.7
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,89,Jorge MARTIN,Aprilia Racing,APRILIA,Soft,Soft,2,1'30.675,90.675,18.43,25.851,22.416,23.978,318.5
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,89,Jorge MARTIN,Aprilia Racing,APRILIA,Soft,Soft,3,1'30.553,90.553,18.446,25.748,22.493,23.866,326.2
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,89,Jorge MARTIN,Aprilia Racing,APRILIA,Soft,Soft,4,1'30.659,90.659,18.556,25.895,22.263,23.945,328.2
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,89,Jorge MARTIN,Aprilia Racing,APRILIA,Soft,Soft,5,1'30.204,90.204,18.53,25.837,22.001,23.836,335.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,89,Jorge MARTIN,Aprilia Racing,APRILIA,Soft,Soft,6,1'30.750,90.75,18.47,25.862,22.357,24.061,335.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,89,Jorge MARTIN,Aprilia Racing,APRILIA,Soft,Soft,7,1'30.537,90.537,18.511,25.797,22.165,24.064,335.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,89,Jorge MARTIN,Aprilia Racing,APRILIA,Soft,Soft,8,1'30.566,90.566,18.405,25.896,22.217,24.048,336.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,89,Jorge MARTIN,Aprilia Racing,APRILIA,Soft,Soft,9,1'31.002,91.002,18.57,25.95,22.402,24.08,337.5
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,89,Jorge MARTIN,Aprilia Racing,APRILIA,Soft,Soft,10,1'30.851,90.851,18.597,25.923,22.271,24.06,335.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,89,Jorge MARTIN,Aprilia Racing,APRILIA,Soft,Soft,11,1'31.688,91.688,18.74,26.355,22.421,24.172,326.2
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,89,Jorge MARTIN,Aprilia Racing,APRILIA,Soft,Soft,12,1'31.365,91.365,18.495,26.138,22.496,24.236,336.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,89,Jorge MARTIN,Aprilia Racing,APRILIA,Soft,Soft,13,1'31.827,91.827,18.894,26.168,22.428,24.337,336.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,33,Brad BINDER,Red Bull KTM Factory Racing,KTM,Soft,Soft,1,1'33.034,93.034,20.28,26.477,22.298,23.979,313.9
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,33,Brad BINDER,Red Bull KTM Factory Racing,KTM,Soft,Soft,2,1'30.713,90.713,18.543,26.074,22.095,24.001,333.3
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,33,Brad BINDER,Red Bull KTM Factory Racing,KTM,Soft,Soft,3,1'30.710,90.71,18.463,26.093,22.238,23.916,322.3
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,33,Brad BINDER,Red Bull KTM Factory Racing,KTM,Soft,Soft,4,1'30.491,90.491,18.403,25.929,22.263,23.896,334.3
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,33,Brad BINDER,Red Bull KTM Factory Racing,KTM,Soft,Soft,5,1'30.892,90.892,18.472,26.169,22.205,24.046,322.3
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,33,Brad BINDER,Red Bull KTM Factory Racing,KTM,Soft,Soft,6,1'30.743,90.743,18.498,26.031,22.243,23.971,331.2
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,33,Brad BINDER,Red Bull KTM Factory Racing,KTM,Soft,Soft,7,1'30.659,90.659,18.475,25.994,22.119,24.071,331.2
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,33,Brad BINDER,Red Bull KTM Factory Racing,KTM,Soft,Soft,8,1'30.619,90.619,18.465,25.978,22.06,24.116,336.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,33,Brad BINDER,Red Bull KTM Factory Racing,KTM,Soft,Soft,9,1'30.949,90.949,18.473,26.023,22.305,24.148,335.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,33,Brad BINDER,Red Bull KTM Factory Racing,KTM,Soft,Soft,10,1'31.026,91.026,18.43,26.203,22.217,24.176,337.5
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,33,Brad BINDER,Red Bull KTM Factory Racing,KTM,Soft,Soft,11,1'31.170,91.17,18.472,26.059,22.383,24.256,332.3
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,33,Brad BINDER,Red Bull KTM Factory Racing,KTM,Soft,Soft,12,1'31.300,91.3,18.625,26.192,22.365,24.118,325.3
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,33,Brad BINDER,Red Bull KTM Factory Racing,KTM,Soft,Soft,13,1'31.461,91.461,18.595,26.133,22.313,24.42,335.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,HONDA,Soft,Soft,1,1'32.490,92.49,20.105,26.271,22.139,23.975,324.3
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,HONDA,Soft,Soft,2,1'30.698,90.698,18.627,25.937,22.205,23.929,331.2
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,HONDA,Soft,Soft,3,1'30.659,90.659,18.614,25.9,22.262,23.883,328.2
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,HONDA,Soft,Soft,4,1'30.512,90.512,18.585,25.923,22.128,23.876,333.3
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,HONDA,Soft,Soft,5,1'31.192,91.192,18.805,26.271,22.189,23.927,329.2
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,HONDA,Soft,Soft,6,1'30.720,90.72,18.587,25.955,22.202,23.976,332.3
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,HONDA,Soft,Soft,7,1'30.644,90.644,18.551,25.855,22.194,24.044,334.3
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,HONDA,Soft,Soft,8,1'30.662,90.662,18.527,25.879,22.176,24.08,336.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,HONDA,Soft,Soft,9,1'30.854,90.854,18.517,25.91,22.218,24.209,338.5
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,HONDA,Soft,Soft,10,1'30.973,90.973,18.544,25.955,22.3,24.174,338.5
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,HONDA,Soft,Soft,11,1'31.431,91.431,18.607,26.126,22.364,24.334,335.4
PT GRAND PRIX OF THAILAND,2026,SPR,Partly Cloudy,Dry,0.54,52,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,HONDA,Soft,Soft,12,1'31.722,91.722,18.726,26.433,22.407,24.156,338.5
